x,y,x_norm,y_norm
-13388777.818456616,12556426.27449123,0.12903225806451607,1.0
-10475338.020351408,12556426.27449123,0.20967741935483877,1.0
-5813834.3433830775,12556426.27449123,0.33870967741935487,1.0
-5231146.383762037,12556426.27449123,0.3548387096774194,1.0
-4648458.424140995,12556426.27449123,0.37096774193548393,1.0
-4065770.464519955,12556426.27449123,0.3870967741935484,1.0
-3483082.504898913,12556426.27449123,0.4032258064516129,1.0
-2900394.545277871,12556426.27449123,0.41935483870967744,1.0
6422612.80865879,12556426.27449123,0.6774193548387097,1.0
9918740.566385038,12556426.27449123,0.7741935483870968,1.0
10501428.52600608,12556426.27449123,0.7903225806451614,1.0
11084116.485627118,12556426.27449123,0.8064516129032258,1.0
11666804.44524816,12556426.27449123,0.8225806451612903,1.0
12249492.404869203,12556426.27449123,0.8387096774193549,1.0
-13971465.778077656,11804792.59948963,0.11290322580645154,0.9615384615384615
-13388777.818456616,11804792.59948963,0.12903225806451607,0.9615384615384615
-12806089.858835574,11804792.59948963,0.14516129032258063,0.9615384615384615
-12223401.899214532,11804792.59948963,0.16129032258064516,0.9615384615384615
-11058025.97997245,11804792.59948963,0.19354838709677422,0.9615384615384615
-9892650.060730368,11804792.59948963,0.2258064516129032,0.9615384615384615
-9309962.101109326,11804792.59948963,0.24193548387096772,0.9615384615384615
-8727274.141488286,11804792.59948963,0.25806451612903214,0.9615384615384615
-5813834.3433830775,11804792.59948963,0.33870967741935487,0.9615384615384615
-5231146.383762037,11804792.59948963,0.3548387096774194,0.9615384615384615
-4648458.424140995,11804792.59948963,0.37096774193548393,0.9615384615384615
-4065770.464519955,11804792.59948963,0.3870967741935484,0.9615384615384615
-3483082.504898913,11804792.59948963,0.4032258064516129,0.9615384615384615
-2900394.545277871,11804792.59948963,0.41935483870967744,0.9615384615384615
5839924.849037748,11804792.59948963,0.6612903225806451,0.9615384615384615
8753364.647142954,11804792.59948963,0.7419354838709677,0.9615384615384615
9336052.606763996,11804792.59948963,0.7580645161290323,0.9615384615384615
9918740.566385038,11804792.59948963,0.7741935483870968,0.9615384615384615
10501428.52600608,11804792.59948963,0.7903225806451614,0.9615384615384615
11084116.485627118,11804792.59948963,0.8064516129032258,0.9615384615384615
11666804.44524816,11804792.59948963,0.8225806451612903,0.9615384615384615
12249492.404869203,11804792.59948963,0.8387096774193549,0.9615384615384615
12832180.364490245,11804792.59948963,0.8548387096774194,0.9615384615384615
13414868.324111287,11804792.59948963,0.8709677419354839,0.9615384615384615
13997556.283732325,11804792.59948963,0.8870967741935484,0.9615384615384615
15745620.162595447,11804792.59948963,0.9354838709677419,0.9615384615384615
16328308.12221649,11804792.59948963,0.9516129032258064,0.9615384615384615
-18050281.495424945,11053158.924488029,0.0,0.9230769230769229
-17467593.535803907,11053158.924488029,0.01612903225806433,0.9230769230769229
-16884905.576182865,11053158.924488029,0.032258064516128865,0.9230769230769229
-16302217.616561823,11053158.924488029,0.0483870967741934,0.9230769230769229
-14554153.737698698,11053158.924488029,0.09677419354838701,0.9230769230769229
-12806089.858835574,11053158.924488029,0.14516129032258063,0.9230769230769229
-12223401.899214532,11053158.924488029,0.16129032258064516,0.9230769230769229
-11640713.93959349,11053158.924488029,0.1774193548387097,0.9230769230769229
-10475338.020351408,11053158.924488029,0.20967741935483877,0.9230769230769229
-9309962.101109326,11053158.924488029,0.24193548387096772,0.9230769230769229
-8727274.141488286,11053158.924488029,0.25806451612903214,0.9230769230769229
-8144586.181867244,11053158.924488029,0.2741935483870967,0.9230769230769229
-7561898.222246202,11053158.924488029,0.29032258064516125,0.9230769230769229
-5813834.3433830775,11053158.924488029,0.33870967741935487,0.9230769230769229
-5231146.383762037,11053158.924488029,0.3548387096774194,0.9230769230769229
-4648458.424140995,11053158.924488029,0.37096774193548393,0.9230769230769229
-4065770.464519955,11053158.924488029,0.3870967741935484,0.9230769230769229
-3483082.504898913,11053158.924488029,0.4032258064516129,0.9230769230769229
-2900394.545277871,11053158.924488029,0.41935483870967744,0.9230769230769229
2343797.0913114995,11053158.924488029,0.564516129032258,0.9230769230769229
2926485.0509325415,11053158.924488029,0.5806451612903226,0.9230769230769229
7587988.72790087,11053158.924488029,0.7096774193548386,0.9230769230769229
8753364.647142954,11053158.924488029,0.7419354838709677,0.9230769230769229
9336052.606763996,11053158.924488029,0.7580645161290323,0.9230769230769229
9918740.566385038,11053158.924488029,0.7741935483870968,0.9230769230769229
10501428.52600608,11053158.924488029,0.7903225806451614,0.9230769230769229
11084116.485627118,11053158.924488029,0.8064516129032258,0.9230769230769229
11666804.44524816,11053158.924488029,0.8225806451612903,0.9230769230769229
12249492.404869203,11053158.924488029,0.8387096774193549,0.9230769230769229
12832180.364490245,11053158.924488029,0.8548387096774194,0.9230769230769229
13414868.324111287,11053158.924488029,0.8709677419354839,0.9230769230769229
13997556.283732325,11053158.924488029,0.8870967741935484,0.9230769230769229
14580244.243353367,11053158.924488029,0.9032258064516129,0.9230769230769229
15162932.202974413,11053158.924488029,0.9193548387096775,0.9230769230769229
15745620.162595447,11053158.924488029,0.9354838709677419,0.9230769230769229
16328308.12221649,11053158.924488029,0.9516129032258064,0.9230769230769229
16910996.08183753,11053158.924488029,0.9677419354838709,0.9230769230769229
17493684.041458573,11053158.924488029,0.9838709677419355,0.9230769230769229
-18050281.495424945,10301525.249486428,0.0,0.8846153846153846
-17467593.535803907,10301525.249486428,0.01612903225806433,0.8846153846153846
-16884905.576182865,10301525.249486428,0.032258064516128865,0.8846153846153846
